0.0,2020-11-21 01:43:37.035621
0.0,2020-11-21 01:43:40.052071
0.0,2020-11-21 01:43:43.068230
0.0,2020-11-21 01:43:46.087426
0.0,2020-11-21 01:43:49.106837
0.0,2020-11-21 01:43:52.113560
0.0,2020-11-21 01:43:55.122372
0.0,2020-11-21 01:43:58.139617
0.0,2020-11-21 01:44:01.155980
0.0,2020-11-21 01:44:04.172026
0.0,2020-11-21 01:44:07.189730
0.0,2020-11-21 01:44:10.207871
0.0,2020-11-21 01:44:13.224115
0.0,2020-11-21 01:44:16.240112
0.0,2020-11-21 01:44:19.256446
0.0,2020-11-21 01:44:22.272299
0.0,2020-11-21 01:44:25.289195
0.0,2020-11-21 01:44:28.305552
0.0,2020-11-21 01:53:59.333079
0.0,2020-11-21 01:54:02.352625
0.0,2020-11-21 01:54:05.371486
0.0,2020-11-21 01:54:08.389484
0.0,2020-11-21 02:08:22.008370
0.0,2020-11-21 02:08:25.028363
0.0,2020-11-21 03:45:00.239971
0.0,2020-11-21 03:45:03.256363
